Category: All categories,
,
Month,science: (United States)
2004-01,100
2004-02,96
2004-03,84
2004-04,77
2004-05,69
2004-06,57
2004-07,53
2004-08,62
2004-09,86
2004-10,86
2004-11,84
2004-12,74
2005-01,89
2005-02,85
2005-03,78
2005-04,74
2005-05,65
2005-06,54
2005-07,50
2005-08,60
2005-09,77
2005-10,75
2005-11,74
2005-12,62
2006-01,80
2006-02,75
2006-03,71
2006-04,65
2006-05,60
2006-06,47
2006-07,44
2006-08,55
2006-09,72
2006-10,70
2006-11,65
2006-12,57
2007-01,72
2007-02,68
2007-03,66
2007-04,64
2007-05,54
2007-06,44
2007-07,42
2007-08,49
2007-09,65
2007-10,65
2007-11,63
2007-12,53
2008-01,66
2008-02,62
2008-03,58
2008-04,60
2008-05,50
2008-06,42
2008-07,38
2008-08,45
2008-09,62
2008-10,59
2008-11,57
2008-12,51
2009-01,62
2009-02,59
2009-03,59
2009-04,55
2009-05,50
2009-06,41
2009-07,38
2009-08,44
2009-09,58
2009-10,57
2009-11,55
2009-12,48
2010-01,60
2010-02,56
2010-03,56
2010-04,52
2010-05,47
2010-06,38
2010-07,34
2010-08,39
2010-09,51
2010-10,48
2010-11,47
2010-12,40
2011-01,55
2011-02,54
2011-03,52
2011-04,50
2011-05,46
2011-06,38
2011-07,33
2011-08,42
2011-09,55
2011-10,51
2011-11,50
2011-12,42
2012-01,52
2012-02,51
2012-03,48
2012-04,48
2012-05,44
2012-06,35
2012-07,32
2012-08,42
2012-09,53
2012-10,48
2012-11,45
2012-12,38
2013-01,49
2013-02,48
2013-03,47
2013-04,47
2013-05,44
2013-06,34
2013-07,31
2013-08,40
2013-09,52
2013-10,51
2013-11,47
2013-12,41
2014-01,50
2014-02,50
2014-03,49
2014-04,47
2014-05,46
2014-06,35
2014-07,33
2014-08,42
2014-09,55
2014-10,50
2014-11,47
2014-12,43
2015-01,51
2015-02,48
2015-03,48
2015-04,48
2015-05,46
2015-06,35
2015-07,31
2015-08,43
2015-09,57
2015-10,52
2015-11,48
2015-12,42
2016-01,49
2016-02,48
2016-03,45
2016-04,46
2016-05,42
2016-06,31
2016-07,27
2016-08,38
2016-09,50
2016-10,46
2016-11,43
2016-12,39
2017-01,49
2017-02,49
2017-03,48
2017-04,52
2017-05,42
2017-06,32
2017-07,29
2017-08,42
2017-09,47
2017-10,46
2017-11,44
2017-12,38
2018-01,47
2018-02,44
2018-03,42
2018-04,42
2018-05,41
2018-06,30
2018-07,28
2018-08,39
2018-09,47
2018-10,44
2018-11,41
2018-12,36
2019-01,44
2019-02,44
2019-03,42
